iter	Passed	Remaining
0	0	213
1	2	309
2	3	309
3	4	335
4	6	369
5	8	377
6	9	369
7	11	377
8	12	367
9	14	378
10	15	377
11	17	381
12	18	377
13	20	393
14	22	386
15	23	383
16	24	381
17	26	379
18	27	378
19	28	370
20	30	368
21	31	366
22	32	363
23	34	363
24	35	361
25	37	364
26	39	366
27	39	357
28	41	354
29	42	354
30	44	352
31	45	351
32	47	349
33	48	347
34	50	347
35	51	345
36	53	351
37	55	350
38	57	349
39	58	349
40	60	347
41	61	346
42	62	343
43	64	343
44	65	341
45	67	342
46	69	341
47	70	339
48	72	337
49	73	335
50	75	335
51	76	333
52	78	331
53	79	329
54	81	328
55	82	327
56	84	327
57	86	326
58	87	325
59	89	324
60	90	322
61	92	321
62	93	319
63	95	317
64	97	318
65	98	317
66	101	319
67	103	319
68	105	318
69	106	316
70	108	315
71	109	314
72	111	313
73	113	311
74	114	309
75	116	309
76	117	307
77	119	306
78	120	304
79	122	302
80	123	300
81	124	298
82	125	295
83	127	293
84	128	291
85	129	289
86	131	287
87	132	286
88	136	289
89	140	292
90	141	290
91	144	292
92	147	293
93	152	297
94	154	297
95	157	298
96	159	297
97	160	294
98	162	293
99	163	290
100	165	289
101	166	287
102	168	285
103	169	283
104	170	281
105	172	279
106	173	277
107	175	275
108	176	273
109	177	271
110	179	270
111	181	268
112	182	266
113	183	264
114	185	262
115	186	260
116	188	259
117	189	257
118	193	257
119	196	258
120	198	257
121	200	256
122	201	254
123	203	253
124	205	251
125	207	249
126	208	247
127	210	246
128	212	244
129	214	243
130	215	242
131	217	240
132	218	238
133	220	236
134	221	235
135	223	233
136	224	231
137	226	229
138	227	227
139	229	225
140	230	224
141	232	222
142	233	220
143	235	218
144	236	216
145	238	215
146	240	214
147	243	213
148	245	212
149	247	210
150	248	209
151	250	207
152	252	205
153	253	204
154	254	202
155	256	200
156	258	199
157	259	197
158	261	195
159	262	193
160	263	191
161	265	189
162	266	187
163	267	186
164	268	184
165	270	182
166	271	180
167	272	178
168	274	177
169	276	175
170	277	173
171	278	171
172	280	170
173	281	168
174	283	166
175	284	164
176	286	163
177	289	162
178	291	160
179	292	159
180	294	157
181	296	156
182	297	154
183	299	152
184	300	151
185	302	149
186	303	147
187	305	146
188	306	144
189	307	142
190	309	140
191	310	139
192	311	137
193	313	135
194	314	133
195	316	132
196	317	130
197	319	128
198	321	127
199	323	126
200	324	124
201	326	122
202	327	121
203	329	119
204	331	117
205	333	116
206	338	115
207	340	114
208	345	114
209	348	112
210	349	110
211	351	109
212	353	107
213	355	106
214	357	104
215	359	103
216	360	101
217	362	99
218	364	98
219	365	96
220	368	95
221	370	93
222	371	91
223	373	90
224	375	88
225	376	86
226	378	85
227	389	85
228	393	84
229	397	82
230	398	81
231	401	79
232	402	77
233	404	76
234	406	74
235	407	72
236	408	70
237	410	68
238	412	67
239	413	65
240	415	63
241	416	62
242	418	60
243	420	58
244	421	56
245	422	55
246	424	53
247	425	51
248	427	49
249	435	48
250	437	47
251	442	45
252	444	43
253	445	42
254	448	40
255	450	38
256	452	36
257	454	35
258	456	33
259	458	31
260	459	29
261	461	28
262	462	26
263	464	24
264	466	22
265	468	21
266	469	19
267	471	17
268	472	15
269	473	14
270	476	12
271	480	10
272	482	8
273	483	7
274	485	5
275	486	3
276	489	1
277	491	0
