column,pandas_dtype,semantic_type,non_missing,missing,missing_pct,unique,min,max,mean,median,std
start,str,datetime,903,0,0.0,903,,,,,
end,str,datetime,903,0,0.0,903,,,,,
Patient ID (Anonymous Code),str,text,9,894,99.0,9,,,,,
Health Facility Name,str,text,843,60,6.64,14,,,,,
Date of Visit,str,datetime,846,57,6.31,28,,,,,
Age,float64,numeric,853,50,5.54,67,0.0,4026.0,21.96,13.0,138.1
Gender (Male/Female),str,categorical,849,54,5.98,3,,,,,
Geographical Zone,str,text,833,70,7.75,29,,,,,
Fever (Yes/No),str,categorical,846,57,6.31,3,,,,,
Headache (Yes/No),str,categorical,838,65,7.2,3,,,,,
Chills (Yes/No),str,categorical,841,62,6.87,3,,,,,
Vomiting (Yes/No),str,categorical,832,71,7.86,3,,,,,
Fatigue (Yes/No),str,categorical,846,57,6.31,3,,,,,
Other Symptoms (Specify),str,text,682,221,24.47,202,,,,,
Fever Duration (Days),float64,numeric,824,79,8.75,9,-6.0,20.0,0.34,,
Anemia Signs (Yes/No),str,categorical,828,75,8.31,3,,,,,
Season of Visit (Dry/Rainy),str,categorical,849,54,5.98,3,,,,,
Recent Travel (Yes/No),str,categorical,844,59,6.53,3,,,,,
"Exposure Risk (e.g., mosquito-prone area) (Yes/No)",str,categorical,845,58,6.42,3,,,,,
Household Malaria History (Yes/No),str,categorical,843,60,6.64,3,,,,,
Rapid Diagnostic Test (RDT) Result (Positive/Negative),str,categorical,850,53,5.87,3,,,,,
Microscopy Result (Positive/Negative),str,categorical,837,66,7.31,3,,,,,
Parasite Density (if available),str,text,3,900,99.67,4,,,,,
Final Confirmed Diagnosis (Malaria / Not Malaria),str,categorical,847,56,6.2,3,,,,,
Treatment Given,str,text,4,899,99.56,3,,,,,
Additional Clinical Notes,float64,text,0,903,100.0,1,,,,,
_id,int64,integer_identifier,903,0,0.0,903,,,,,
_uuid,str,text,903,0,0.0,903,,,,,
_submission_time,str,datetime,903,0,0.0,901,,,,,
_validation_status,float64,text,0,903,100.0,1,,,,,
_notes,float64,text,0,903,100.0,1,,,,,
_status,str,text,903,0,0.0,1,,,,,
_submitted_by,float64,text,0,903,100.0,1,,,,,
__version__,str,text,903,0,0.0,1,,,,,
_tags,float64,text,0,903,100.0,1,,,,,
meta/rootUuid,str,text,903,0,0.0,903,,,,,
_index,int64,integer_identifier,903,0,0.0,903,,,,,
